iter	Passed	Remaining
852	9840	1695
853	9848	1683
854	9856	1671
855	9864	1659
856	9870	1647
857	9876	1634
858	9884	1622
859	9890	1610
860	9899	1598
861	9906	1585
862	9914	1573
863	9919	1561
864	9928	1549
865	9940	1538
866	9948	1526
867	9957	1514
868	9967	1502
869	9978	1491
870	9986	1478
871	9995	1467
872	10004	1455
873	10013	1443
874	10019	1431
875	10027	1419
876	10033	1407
877	10041	1395
878	10047	1383
879	10053	1370
880	10061	1359
881	10067	1346
882	10075	1335
883	10081	1322
884	10087	1310
885	10094	1298
886	10100	1286
887	10109	1275
888	10124	1264
889	10131	1252
890	10142	1240
891	10149	1228
892	10164	1217
893	10177	1206
894	10190	1195
895	10197	1183
896	10208	1172
897	10217	1160
898	10226	1148
899	10236	1137
900	10243	1125
901	10253	1114
902	10261	1102
903	10270	1090
904	10278	1078
905	10287	1067
906	10305	1056
907	10320	1045
908	10330	1034
909	10340	1022
910	10348	1010
911	10358	999
912	10369	988
913	10376	976
914	10387	964
915	10395	953
916	10405	941
917	10417	930
918	10434	919
919	10454	909
920	10468	897
921	10477	886
922	10487	874
923	10495	863
924	10503	851
925	10515	840
926	10525	828
927	10535	817
928	10545	805
929	10552	794
930	10564	782
931	10573	771
932	10582	759
933	10596	748
934	10607	737
935	10618	726
936	10630	714
937	10639	703
938	10649	691
939	10657	680
940	10666	668
941	10676	657
942	10684	645
943	10694	634
944	10716	623
945	10742	613
946	10760	602
947	10791	591
948	10813	581
949	10836	570
950	10852	559
951	10865	547
952	10880	536
953	10893	525
954	10908	514
955	10918	502
956	10929	491
957	10945	479
958	10958	468
959	10975	457
960	10987	445
961	11010	434
962	11038	424
963	11068	413
964	11092	402
965	11113	391
966	11130	379
967	11153	368
968	11179	357
969	11194	346
970	11208	334
971	11220	323
972	11243	311
973	11254	300
974	11270	288
975	11286	277
976	11299	266
977	11309	254
978	11321	242
979	11333	231
980	11348	219
981	11363	208
982	11393	197
983	11406	185
984	11420	173
985	11432	162
986	11441	150
987	11454	139
988	11467	127
989	11479	115
990	11487	104
991	11500	92
992	11512	81
993	11526	69
994	11550	58
995	11565	46
996	11579	34
997	11593	23
998	11603	11
999	11615	0
